osmid,y,x,highway,ref,street_count,junction,railway,geometry
27029857,39.2316281,-76.5076714,motorway_junction,44,3,,,POINT (-76.5076714 39.2316281)
37017995,39.2654429,-76.5292771,,,3,,,POINT (-76.5292771 39.2654429)
37017996,39.2654621,-76.5277281,,,3,,,POINT (-76.5277281 39.2654621)
37018071,39.3868849,-76.525801,,,1,,,POINT (-76.525801 39.3868849)
37018073,39.3875934,-76.5251871,,,3,,,POINT (-76.5251871 39.3875934)
37018082,39.2970522,-76.4221001,,,3,,,POINT (-76.4221001 39.2970522)
37018098,39.2976881,-76.421585,,,3,,,POINT (-76.421585 39.2976881)
37018099,39.298376,-76.4208216,,,1,,,POINT (-76.4208216 39.298376)
37018114,39.317318,-76.45271,,,4,,,POINT (-76.45271 39.317318)
37018165,39.3147418,-76.4537907,,,1,,,POINT (-76.4537907 39.3147418)
37018175,39.4715402,-76.6071263,,,4,,,POINT (-76.6071263 39.4715402)
37018180,39.4709848,-76.60849,,,3,,,POINT (-76.60849 39.4709848)
37018188,39.4704412,-76.6088306,,,3,,,POINT (-76.6088306 39.4704412)
37018198,39.4694733,-76.6083103,,,1,,,POINT (-76.6083103 39.4694733)
37018207,39.2370341,-76.4521001,,,3,,,POINT (-76.4521001 39.2370341)
37018214,39.2368961,-76.4514791,,,3,,,POINT (-76.4514791 39.2368961)
37018224,39.237123,-76.451033,,,3,,,POINT (-76.451033 39.237123)
37018232,39.2381077,-76.4501839,,,4,,,POINT (-76.4501839 39.2381077)
37018237,39.23978,-76.4487102,,,4,,,POINT (-76.4487102 39.23978)
37018239,39.2407979,-76.4478325,,,4,,,POINT (-76.4478325 39.2407979)
37018241,39.2413432,-76.4473472,,,3,,,POINT (-76.4473472 39.2413432)
37018248,39.2712983,-76.5273321,,,3,,,POINT (-76.5273321 39.2712983)
37018250,39.271315,-76.529156,,,3,,,POINT (-76.529156 39.271315)
37018259,39.3388712,-76.4106681,,,3,,,POINT (-76.4106681 39.3388712)
37018286,39.1977786,-76.4442427,,,3,,,POINT (-76.4442427 39.1977786)
37018296,39.19699,-76.4458702,,,3,,,POINT (-76.4458702 39.19699)
37018301,39.3825851,-76.5086917,,,3,,,POINT (-76.5086917 39.3825851)
37018303,39.3821998,-76.5089568,,,3,,,POINT (-76.5089568 39.3821998)
37018307,39.3815781,-76.5093846,,,1,,,POINT (-76.5093846 39.3815781)
37018310,39.4101087,-76.6035319,,,5,,,POINT (-76.6035319 39.4101087)
37018332,39.410629,-76.604163,,,3,,,POINT (-76.604163 39.410629)
37018334,39.4599628,-76.7778402,,,3,,,POINT (-76.7778402 39.4599628)
37018353,39.4608145,-76.7771044,,,3,,,POINT (-76.7771044 39.4608145)
37018435,39.4593806,-76.776164,,,3,,,POINT (-76.776164 39.4593806)
37018437,39.4592791,-76.7763814,,,3,,,POINT (-76.7763814 39.4592791)
37018462,39.4582587,-76.777353,,,3,,,POINT (-76.777353 39.4582587)
37018465,39.4582409,-76.777377,,,3,,,POINT (-76.777377 39.4582409)
37018475,39.4574617,-76.7783588,,,4,,,POINT (-76.7783588 39.4574617)
37018496,39.4565796,-76.7786246,,,3,,,POINT (-76.7786246 39.4565796)
37018498,39.4565601,-76.7786284,,,3,,,POINT (-76.7786284 39.4565601)
37018515,39.4555017,-76.7790121,,,4,,,POINT (-76.7790121 39.4555017)
37018533,39.4548666,-76.7796742,,,3,,,POINT (-76.7796742 39.4548666)
37018552,39.454849,-76.7811247,,,3,,,POINT (-76.7811247 39.454849)
37018562,39.33519,-76.461802,,,3,,,POINT (-76.461802 39.33519)
37018563,39.3356453,-76.4628244,turning_circle,,1,,,POINT (-76.4628244 39.3356453)
37018567,39.492619,-76.543969,,,3,,,POINT (-76.543969 39.492619)
37018588,39.4938164,-76.5430715,,,3,,,POINT (-76.5430715 39.4938164)
37018590,39.500539,-76.640957,,,3,,,POINT (-76.640957 39.500539)
37018591,39.5004997,-76.6400756,,,3,,,POINT (-76.6400756 39.5004997)
37018604,39.4997363,-76.6392145,turning_circle,,1,,,POINT (-76.6392145 39.4997363)
37018609,39.4409671,-76.6527403,,,3,,,POINT (-76.6527403 39.4409671)
37018638,39.4409641,-76.6513954,turning_circle,,3,,,POINT (-76.6513954 39.4409641)
37018693,39.2731686,-76.7263145,,,3,,,POINT (-76.7263145 39.2731686)
37018700,39.2751863,-76.727193,,,3,,,POINT (-76.727193 39.2751863)
37018705,39.2773997,-76.72816,,,3,,,POINT (-76.72816 39.2773997)
37018710,39.2792819,-76.7289839,traffic_signals,,4,,,POINT (-76.7289839 39.2792819)
37018716,39.261772,-76.527064,,,3,,,POINT (-76.527064 39.261772)
37018718,39.2617457,-76.5275487,,,3,,,POINT (-76.5275487 39.2617457)
37018730,39.4123648,-76.8203742,,,3,,,POINT (-76.8203742 39.4123648)
37018747,39.4950812,-76.5909635,turning_circle,,4,,,POINT (-76.5909635 39.4950812)
37018765,39.495958,-76.590258,,,3,,,POINT (-76.590258 39.495958)
37018772,39.3860808,-76.8188522,,,3,,,POINT (-76.8188522 39.3860808)
37018775,39.3863358,-76.8175285,turning_circle,,1,,,POINT (-76.8175285 39.3863358)
37018778,39.2648285,-76.4680522,,,4,,,POINT (-76.4680522 39.2648285)
37018837,39.2632532,-76.4689803,,,4,,,POINT (-76.4689803 39.2632532)
37018843,39.4154051,-76.732204,,,3,,,POINT (-76.732204 39.4154051)
37018847,39.4154551,-76.7326268,,,3,,,POINT (-76.7326268 39.4154551)
37018857,39.415463,-76.7336083,,,4,,,POINT (-76.7336083 39.415463)
37018859,39.415459,-76.7340581,,,3,,,POINT (-76.7340581 39.415459)
37018868,39.415159,-76.7353362,,,1,,,POINT (-76.7353362 39.415159)
37018890,39.3863032,-76.7045989,,,4,,,POINT (-76.7045989 39.3863032)
37018912,39.3871646,-76.7051095,,,3,,,POINT (-76.7051095 39.3871646)
37018917,39.387834,-76.7053208,,,3,,,POINT (-76.7053208 39.387834)
37018925,39.340889,-76.517932,,,3,,,POINT (-76.517932 39.340889)
37018927,39.2543678,-76.5186657,,,3,,,POINT (-76.5186657 39.2543678)
37018929,39.2543568,-76.518152,,,3,,,POINT (-76.518152 39.2543568)
37018932,39.2543651,-76.5176455,,,4,,,POINT (-76.5176455 39.2543651)
37018937,39.2544162,-76.5171613,,,3,,,POINT (-76.5171613 39.2544162)
37018939,39.2544554,-76.5166623,,,4,,,POINT (-76.5166623 39.2544554)
37018945,39.25451,-76.516073,,,3,,,POINT (-76.516073 39.25451)
37018962,39.2194841,-76.4918939,,,3,,,POINT (-76.4918939 39.2194841)
37019000,39.254719,-76.462809,turning_circle,,4,,,POINT (-76.462809 39.254719)
37019016,39.253529,-76.464901,,,1,,,POINT (-76.464901 39.253529)
37019029,39.38905,-76.722301,,,3,,,POINT (-76.722301 39.38905)
37019034,39.38917,-76.7219985,traffic_signals,,4,,,POINT (-76.7219985 39.38917)
37019037,39.3892223,-76.7218746,traffic_signals,,4,,,POINT (-76.7218746 39.3892223)
37019040,39.3893413,-76.7215874,,,4,,,POINT (-76.7215874 39.3893413)
37019074,39.3900701,-76.7132114,traffic_signals,,4,,,POINT (-76.7132114 39.3900701)
37019076,39.3900841,-76.7130734,traffic_signals,,4,,,POINT (-76.7130734 39.3900841)
37019105,39.461725,-76.6776746,,,3,,,POINT (-76.6776746 39.461725)
37019194,39.2361936,-76.4710601,traffic_signals,,4,,,POINT (-76.4710601 39.2361936)
37019198,39.2363179,-76.4710744,traffic_signals,,4,,,POINT (-76.4710744 39.2363179)
37019250,39.633317,-76.787078,,,3,,,POINT (-76.787078 39.633317)
37019256,39.634227,-76.786894,,,3,,,POINT (-76.786894 39.634227)
37019297,39.636495,-76.785445,,,1,,,POINT (-76.785445 39.636495)
37019500,39.3600742,-76.7309215,,,4,,,POINT (-76.7309215 39.3600742)
37019515,39.3609006,-76.7309646,,,3,,,POINT (-76.7309646 39.3609006)
37019523,39.3609324,-76.7312722,,,3,,,POINT (-76.7312722 39.3609324)
37019528,39.3599708,-76.7390862,,,3,,,POINT (-76.7390862 39.3599708)
37019534,39.3598528,-76.7394899,,,3,,,POINT (-76.7394899 39.3598528)
37019536,39.3601248,-76.7385594,,,4,,,POINT (-76.7385594 39.3601248)
37019541,39.3605939,-76.7398565,,,4,,,POINT (-76.7398565 39.3605939)
37019544,39.497672,-76.570255,,,3,,,POINT (-76.570255 39.497672)
37019550,39.497505,-76.573097,,,3,,,POINT (-76.573097 39.497505)
37019563,39.497879,-76.569037,,,3,,,POINT (-76.569037 39.497879)
37019577,39.497406,-76.568632,,,1,,,POINT (-76.568632 39.497406)
37019581,39.4981664,-76.5683189,,,1,,,POINT (-76.5683189 39.4981664)
37019592,39.4439537,-76.7070405,,,3,,,POINT (-76.7070405 39.4439537)
37019596,39.4438017,-76.7072064,,,3,,,POINT (-76.7072064 39.4438017)
37019604,39.4436561,-76.7077278,,,3,,,POINT (-76.7077278 39.4436561)
37019619,39.4437322,-76.7080642,,,3,,,POINT (-76.7080642 39.4437322)
37019626,39.3711118,-76.4995144,,,3,,,POINT (-76.4995144 39.3711118)
37019629,39.3713631,-76.4990229,,,1,,,POINT (-76.4990229 39.3713631)
37019634,39.4451265,-76.7298221,,,3,,,POINT (-76.7298221 39.4451265)
37019645,39.4448974,-76.7301085,,,3,,,POINT (-76.7301085 39.4448974)
37019669,39.4634701,-76.4652725,,,3,,,POINT (-76.4652725 39.4634701)
37019707,39.46776,-76.464769,,,3,,,POINT (-76.464769 39.46776)
37019738,39.3891696,-76.7312293,,,3,,,POINT (-76.7312293 39.3891696)
37019748,39.468321,-76.464887,,,1,,,POINT (-76.464887 39.468321)
37019768,39.4005376,-76.7485785,,,3,,,POINT (-76.7485785 39.4005376)
37019772,39.4006196,-76.7485511,,,3,,,POINT (-76.7485511 39.4006196)
37019775,39.400631,-76.7484004,,,3,,,POINT (-76.7484004 39.400631)
37019786,39.4004114,-76.7482936,,,3,,,POINT (-76.7482936 39.4004114)
37019793,39.4004234,-76.7485416,,,3,,,POINT (-76.7485416 39.4004234)
37019820,39.4761493,-76.783333,,,3,,,POINT (-76.783333 39.4761493)
37019827,39.4715868,-76.4365217,,,3,,,POINT (-76.4365217 39.4715868)
37019865,39.4697708,-76.4373975,,,3,,,POINT (-76.4373975 39.4697708)
37019878,39.4702896,-76.4835413,,,3,,,POINT (-76.4835413 39.4702896)
37019881,39.470025,-76.483605,,,1,,,POINT (-76.483605 39.470025)
37019885,39.469382,-76.424878,,,3,,,POINT (-76.424878 39.469382)
37019890,39.470677,-76.424856,,,3,,,POINT (-76.424856 39.470677)
37019907,39.471741,-76.426524,,,1,,,POINT (-76.426524 39.471741)
37019940,39.4756685,-76.7864843,,,1,,,POINT (-76.7864843 39.4756685)
37019954,39.3471881,-76.4412706,,,4,,,POINT (-76.4412706 39.3471881)
37019975,39.3464746,-76.4411394,,,4,,,POINT (-76.4411394 39.3464746)
37020208,39.388755,-76.5632131,,,3,,,POINT (-76.5632131 39.388755)
37020220,39.3905892,-76.5626705,,,3,,,POINT (-76.5626705 39.3905892)
37020269,39.3283462,-76.4237779,,,3,,,POINT (-76.4237779 39.3283462)
37020276,39.3887879,-76.564221,,,3,,,POINT (-76.564221 39.3887879)
37020296,39.3909159,-76.5636062,,,3,,,POINT (-76.5636062 39.3909159)
37020301,39.5225109,-76.6839243,,,1,,,POINT (-76.6839243 39.5225109)
37020306,39.522484,-76.6841536,,,3,,,POINT (-76.6841536 39.522484)
37020344,39.5220661,-76.6854827,,,3,,,POINT (-76.6854827 39.5220661)
37020354,39.2816781,-76.5056053,,,3,,,POINT (-76.5056053 39.2816781)
37020358,39.281741,-76.505322,,,4,,,POINT (-76.505322 39.281741)
37020361,39.281885,-76.5046299,,,3,,,POINT (-76.5046299 39.281885)
37020426,39.5216233,-76.6860862,,,3,,,POINT (-76.6860862 39.5216233)
37020499,39.5228844,-76.6850334,,,1,,,POINT (-76.6850334 39.5228844)
37020532,39.3679037,-76.4691554,,,4,,,POINT (-76.4691554 39.3679037)
37020533,39.367711,-76.469002,,,4,,,POINT (-76.469002 39.367711)
37020536,39.3672723,-76.4686498,,,3,,,POINT (-76.4686498 39.3672723)
37020549,39.366751,-76.469674,,,3,,,POINT (-76.469674 39.366751)
37020554,39.366267,-76.4706574,,,3,,,POINT (-76.4706574 39.366267)
37020566,39.2806458,-76.5060017,,,3,,,POINT (-76.5060017 39.2806458)
37020588,39.2815145,-76.5057261,,,3,,,POINT (-76.5057261 39.2815145)
37020627,39.367198,-76.470051,,,4,,,POINT (-76.470051 39.367198)
37020629,39.3673745,-76.4701856,,,4,,,POINT (-76.4701856 39.3673745)
37020632,39.2804838,-76.5066552,,,3,,,POINT (-76.5066552 39.2804838)
37020634,39.283121,-76.507567,,,3,,,POINT (-76.507567 39.283121)
37020647,39.337047,-76.408382,,,3,,,POINT (-76.408382 39.337047)
37020651,39.333184,-76.416789,,,3,,,POINT (-76.416789 39.333184)
37020735,39.4640522,-76.838701,,,3,,,POINT (-76.838701 39.4640522)
37020773,39.327529,-76.528623,,,3,,,POINT (-76.528623 39.327529)
37020788,39.328002,-76.527132,,,4,,,POINT (-76.527132 39.328002)
37020789,39.328445,-76.527095,,,3,,,POINT (-76.527095 39.328445)
37020791,39.328889,-76.527057,,,4,,,POINT (-76.527057 39.328889)
37020794,39.329339,-76.527037,,,3,,,POINT (-76.527037 39.329339)
37020797,39.329786,-76.527011,,,4,,,POINT (-76.527011 39.329786)
37020810,39.330246,-76.527006,,,3,,,POINT (-76.527006 39.330246)
